Category,Model,Related Project,Product Manufacturer,Part Description,Part Number,Spec / Finish / Length ,Inventory ID,Live Stock Quantity,UOM
Containment,,Tool Install Elec,Niedax CMS Ltd,Fillet/Divider 100 mm Tool Install,Fillet/Divider 100 mm ,,Fillet/Divider 100 mm ,50,Ea
Containment,,Tool Install Elec,Niedax CMS Ltd,Fillet/Divider 75 mm Tool Install,Fillet/Divider 75 mm ,,Fillet/Divider 75 mm ,42,Ea
Containment,,Tool Install Elec,Unitrunk Ltd,Trunking 100 x 100 mm Tool Install,Trunking 100 x 100 mm ,,Trunking 100 x 100 mm ,19,Ea
Containment,,Tool Install Elec,Unitrunk Ltd,Trunking 150 x 150 mm Tool Install,Trunking 150 x 150 mm ,,Trunking 150 x 150 mm ,11,Ea
Containment,,Tool Install Elec,Unitrunk Ltd,Trunking 230 x 230 mm Tool Install,Trunking 230 x 230 mm ,,Trunking 230 x 230 mm ,21,Ea
Containment,,Tool Install Elec,Unitrunk Ltd,Trunking 50 x 50 mm Tool Install,Trunking 50 x 50 mm ,,Trunking 50 x 50 mm ,25,Ea
Containment,,Tool Install Elec,Unitrunk Ltd,Trunking 75 x 75 mm Tool Install,Trunking 75 x 75 mm ,,Trunking 75 x 75 mm ,2,Ea
Storage Box,,Tool Install Elec,,Storage Box 150x150x150,150x150x150,,150x150x150,1,Ea
Storage Box,,Tool Install Elec,,Storage Box 200x200x100,200x200x100,,200x200x100,11,Ea
Storage Box,,Tool Install Elec,,Storage Box 200x200x150,200x200x150,,200x200x150,1,Ea
Storage Box,,Tool Install Elec,,Storage Box 300x150x150,300x150x150,,300x150x150,4,Ea
Storage Box,,Tool Install Elec,,Storage Box 300x300x200,300x300x200,,300x300x200,2,Ea
Storage Box,,Tool Install Elec,,Storage Box 400x400x150,400x400x150,,400x400x150,1,Ea
Storage Box,,Tool Install Elec,,Storage Box 450x100x100,450x100x100,,450x100x100,1,Ea
Storage Box,,Tool Install Elec,,Storage Box 450x450x100,450x450x100,,450x450x100,4,Ea
Storage Box,,Tool Install Elec,,Storage Box 450x450x150,450x450x150,,450x450x150,5,Ea
Storage Box,,Tool Install Elec,,Storage Box 450x450x200,450x450x200,,450x450x200,1,Ea
Storage Box,,Tool Install Elec,,Storage Box 500x100x200,500x100x200,,500x100x200,1,Ea
Storage Box,,Tool Install Elec,,Storage Box 600x600x100,600x600x100,,600x600x100,1,Ea
Storage Box,,Tool Install Elec,,Storage Box 750x750x300,750x750x300,,750x750x300,1,Ea
Supports,,Tool Install Elec,Unistrut,Channel,P1000,ZD / / 3,P1000ZD / / 3,1500,Meters
Supports,,Tool Install Elec,Unistrut,Channel,P1000,ZD / / 6,P1000ZD / / 6,9,Meters
Supports,,Tool Install Elec,Unistrut,Comb Channel,P1001,ZD,P1001ZD,0,Ea
Supports,,Tool Install Elec,Unistrut,Comb Channel,P1001,ZD / / 3,P1001ZD / / 3,462,Meters
Supports,,Tool Install Elec,Unistrut,Square Washer,P1020,ZD,P1020ZD,59600,Ea
Supports,,Tool Install Elec,Unistrut,2 Hole 90 Deg Fitting,P1026,ZD,P1026ZD,3160,Ea
Supports,,Tool Install Elec,Unistrut,4 Hole Flat T Fitting,P1031,ZD,P1031ZD,120,Ea
Supports,,Tool Install Elec,Unistrut,3+1 Hole 90 Deg Fitting,P1033,ZD,P1033ZD,20,Ea
Supports,,Tool Install Elec,Unistrut,3 Hole Flat R/Angle Fitting,P1036,ZD,P1036ZD,2430,Ea
Supports,,Tool Install Elec,Unistrut,2+1 Hole Left Fitting,P1037,ZD,P1037ZD,100,Ea
Supports,,Tool Install Elec,Unistrut,3 Hole Z Fitting,P1045,ZD,P1045ZD,2870,Ea
Supports,,Tool Install Elec,Unistrut,5 Hole U Fitting,P1047,ZD,P1047ZD,3880,Ea
Supports,,Tool Install Elec,Unistrut,2 Hole Straight Fitting,P1065,ZD,P1065ZD,4100,Ea
Supports,,Tool Install Elec,Unistrut,3 Hole Straight Fitting,P1066,ZD,P1066ZD,420,Ea
Supports,,Tool Install Elec,Unistrut,4 Hole Straight Fitting,P1067,ZD,P1067ZD,1160,Ea
Supports,,Tool Install Elec,Unistrut,4 Hole 90 Deg Fitting,P1325,ZD,P1325ZD,670,Ea
Supports,,Tool Install Elec,Unistrut,3 Hole 90 Deg Fitting,P1326,ZD,P1326ZD,1600,Ea
Supports,,Tool Install Elec,Unistrut,Adjustable 4-Hole Hinge,P1354,ZD,P1354ZD,20,Ea
Supports,,Tool Install Elec,Unistrut,4 Hole Flat Delta T Fitting,P1358,ZD,P1358ZD,10,Ea
Supports,,Tool Install Elec,Unistrut,Universal Beamclamp,P1386,ZD,P1386ZD,100,Ea
Supports,,Tool Install Elec,Unistrut,3 Hole Deep U Fitting,P1737,ZD,P1737ZD,100,Ea
Supports,,Tool Install Elec,Unistrut,Angle Beamclamp,P1796,ZD,P1796ZD,270,Ea
Supports,,Tool Install Elec,Unistrut,2+2 HOLE BASE PLATE,P2072,ZD,P2072ZD,190,Ea
Supports,,Tool Install Elec,Unistrut,2+4 Hole Base Plate,P2073,ZD,P2073ZD,150,Ea
Supports,,Tool Install Elec,Unistrut,2 Hole Left Fitting Bracket ,P2341 L,ZD,P2341 LZD,1973,Ea
Supports,,Tool Install Elec,Unistrut,2 Hole Right Fitting Bracket ,P2341 R,ZD,P2341 RZD,2258,Ea
Supports,,Tool Install Elec,Unistrut,2+6 Hole Wing Fitting,P2346,ZD,P2346ZD,350,Ea
Supports,,Tool Install Elec,Unistrut,7 Hole 90 Deg Gusset Fitting,P2484,ZD,P2484ZD,20,Ea
Supports,,Tool Install Elec,Unistrut,Ubolt Beam Clamp,P2785,ZD,P2785ZD,7674,Ea
Supports,,Tool Install Elec,Unistrut,2+2 HOLE BASE PLATE,P2786,ZD,P2786ZD,0,Ea
Supports,,Tool Install Elec,Unistrut,Channel,P3300,ZD / / 3,P3300ZD / / 3,105,Meters
Supports,,Tool Install Elec,Unistrut,Channel,P3300,ZD / / 6,P3300ZD / / 6,3969,Meters
Supports,,Tool Install Elec,Unistrut,Comb Channel,P3301,ZD / / 3,P3301ZD / / 3,1191,Meters
Supports,,Tool Install Elec,Unistrut,Comb Channel,P3301,ZD / / 6,P3301ZD / / 6,10192,Meters
Supports,,Tool Install Elec,Unistrut,2 Hole Z Fitting,P4045,ZD,P4045ZD,680,Ea
Supports,,Tool Install Elec,Unistrut,3 Hole U Fitting,P4047,ZD,P4047ZD,1824,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 4 Pin 230V 9H Blue Ceeform Interlock Plug,13105,,13105,0,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 4 Pin 400V 6H Red Ceeform Interlock Plug,13106,,13106,0,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 5 Pin 230V 9H Blue Ceeform Interlock Plug,13111,,13111,2,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 4 Pin 500V 7H Black Ceeform Interlock Plug,13207,,13207,1,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 5 Pin 230V 9H Blue Ceeform Interlock Plug,13211,,13211,0,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 125A 4 Pin 230V 9H Blue Ceeform Interlock Plug,13218,,13218,9,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 3 Pin 230V 6H Blue Ceeform Interlock Plug,13502,,13502,6,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 5 Pin 230V 9H Blue Ceeform Interlock Plug,13509,,13509,11,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 32A 3 Pin 110V 4H Yellow Ceeform Interlock Plug,13512,,13512,0,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 32A 5 Pin 230V 9H Blue Ceeform Interlock Plug,13519,,13519,25,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 4 Pin 230V 9H Blue Ceeform Interlock Plug,151A,,151A,6,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 3 Pin 110V 4H Yellow Ceeform Interlock Plug,247,,247,10,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 4 Pin 400V 6H Red Ceeform Interlock Plug,282,,282,0,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 32A 4 Pin 500V 7H Black Plug Ceeform Interlock Plug,295,,295,0,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 4 Pin 500V 7H Black Ceeform Interlock Plug,3810,,3810,2,Ea
Wiring Devices,Plug,Tool Install Elec,Eastern Electrical Ltd,Mennekes 32A 4 Pin 230V 9H Blue Ceeform Interlock Plug,3844,,3844,20,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 3 Pin 230V 6H Blue Ceeform Interlock Plug,3919,,3919,20,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 4 Pin 500V 7H Black Ceeform Interlock Switched,5111A,,5111A,2,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 5 Pin 230V 9H Blue Ceeform Interlock Switched,5112A,,5112A,0,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 4 Pin 400V 6H Red Ceeform Interlock Switched,5601406G,,5601406G,2,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 4 Pin 500V 7H Black Ceeform Interlock Switched,5601407G,,5601407G,0,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 4 Pin 230V 9H Blue Ceeform Interlock Switched,5601409G,,5601409G,28,Ea
Wiring devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 4 Pin 500V 7H Blue Ceeform Interlock Switched,5602407G,,5602407G,0,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 5 Pin 230V 9H Blue Ceeform Interlock Switched,5602509G,,5602509G,25,Ea
Wiring devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 32A 4 Pin 500V 7H Black Ceeform Interlock Switched,5603407G,,5603407G,0,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 32A 4 Pin 230V 9H Blue Ceeform Interlock Switched,5603409G,,5603409G,3,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 32A 5 Pin 230V 9H Blue Ceeform Interlock Switched,5603509G,,5603509G,0,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 3 Pin 230V 6H Blue Ceeform Interlock Switched,5611306G,,5611306G,20,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 32A 3 Pin 230V 6H Blue Ceeform Interlock Switched,5696A,,5696A,0,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 125A 4 Pin 230V 9H Black Ceeform Interlock Switched,5887A,,5887A,6,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 4 Pin 230V 9H Blue Ceeform Interlock Switched,5955A,,5955A,23,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 63A 4 Pin 500V 7H Black Ceeform Interlock Switched,5957A,,5957A,0,Ea
Wiring Devices,Switched,Tool Install Elec,Eastern Electrical Ltd,Mennekes 16A 3 Pin 230V 6H Blue Ceeform Interlock Switched,7002A,DUO,7002ADUO,2,Ea
